dataset,fold,arm,reference,disagreement,correctness_disagreement,sampling_sd_floor
aptos2019,8,full_llrd_ema,full,0.07734806629834254,0.06767955801104972,0.019222156699515863
aptos2019,8,full_llrd_ema,selected_training,0.13535911602209943,0.11049723756906077,0.022066463661761418
aptos2019,8,selected_surgical,frozen_lr,0.12154696132596685,0.10497237569060773,0.01932398932484046
aptos2019,8,selected_surgical,last2,0.11878453038674033,0.09806629834254144,0.01959165866652794
aptos2019,8,selected_surgical,full,0.11740331491712708,0.09392265193370165,0.019594463219094572
aptos2019,8,selected_surgical,selected_training,0.11878453038674033,0.09806629834254144,0.01959165866652794
aptos2019,9,emb,frozen_lr,0.0,0.0,0.0
aptos2019,9,emb,last2,0.1885245901639344,0.1407103825136612,0.022503989448109715
aptos2019,9,emb,full,0.0,0.0,0.0
aptos2019,9,emb,selected_training,0.012295081967213115,0.012295081967213115,0.007845164302814303
aptos2019,9,emb_ema,frozen_lr,0.0,0.0,0.0
aptos2019,9,emb_ema,last2,0.1885245901639344,0.1407103825136612,0.022503989448109715
aptos2019,9,emb_ema,full,0.0,0.0,0.0
aptos2019,9,emb_ema,selected_training,0.012295081967213115,0.012295081967213115,0.007845164302814303
aptos2019,9,first2,frozen_lr,0.0,0.0,0.0
aptos2019,9,first2,last2,0.1885245901639344,0.1407103825136612,0.022503989448109715
aptos2019,9,first2,full,0.0,0.0,0.0
aptos2019,9,first2,selected_training,0.012295081967213115,0.012295081967213115,0.007845164302814303
aptos2019,9,first2_ema,frozen_lr,0.0,0.0,0.0
aptos2019,9,first2_ema,last2,0.1885245901639344,0.1407103825136612,0.022503989448109715
aptos2019,9,first2_ema,full,0.0,0.0,0.0
aptos2019,9,first2_ema,selected_training,0.012295081967213115,0.012295081967213115,0.007845164302814303
aptos2019,9,full_llrd,frozen_lr,0.08743169398907104,0.06557377049180328,0.017827251517683426
aptos2019,9,full_llrd,last2,0.20355191256830601,0.15163934426229508,0.024994911629545116
aptos2019,9,full_llrd,full,0.08743169398907104,0.06557377049180328,0.017827251517683426
aptos2019,9,full_llrd,selected_training,0.0942622950819672,0.07240437158469945,0.01875609731334212
aptos2019,9,full_llrd_ema,frozen_lr,0.07923497267759563,0.06557377049180328,0.015427583259973574
aptos2019,9,full_llrd_ema,last2,0.18442622950819673,0.14617486338797814,0.021850490715270923
aptos2019,9,full_llrd_ema,full,0.07923497267759563,0.06557377049180328,0.015427583259973574
aptos2019,9,full_llrd_ema,selected_training,0.0778688524590164,0.06147540983606557,0.013906877996185025
aptos2019,9,selected_surgical,frozen_lr,0.08743169398907104,0.06557377049180328,0.017827251517683426
aptos2019,9,selected_surgical,last2,0.20355191256830601,0.15163934426229508,0.024994911629545116
aptos2019,9,selected_surgical,full,0.08743169398907104,0.06557377049180328,0.017827251517683426
aptos2019,9,selected_surgical,selected_training,0.0942622950819672,0.07240437158469945,0.01875609731334212
aptos2019,10,emb,frozen_lr,0.04299583911234397,0.03744798890429958,0.011709571216822172
aptos2019,10,emb,last2,0.17475728155339806,0.14424410540915394,0.022820438456164955
aptos2019,10,emb,full,0.18307905686546463,0.15811373092926492,0.0233850662156488
aptos2019,10,emb,selected_training,0.10957004160887657,0.08876560332871013,0.018917679531155012
aptos2019,10,emb_ema,frozen_lr,0.07628294036061026,0.06934812760055478,0.013585087533706582
aptos2019,10,emb_ema,last2,0.1664355062413315,0.13730929264909847,0.023002627471492877
aptos2019,10,emb_ema,full,0.1678224687933426,0.14563106796116504,0.02265926671486687
aptos2019,10,emb_ema,selected_training,0.1262135922330097,0.10402219140083217,0.02050887136175132
aptos2019,10,first2,frozen_lr,0.08044382801664356,0.05547850208044383,0.011612035797306677
aptos2019,10,first2,last2,0.15811373092926492,0.12343966712898752,0.021827666596415118
aptos2019,10,first2,full,0.15256588072122051,0.1262135922330097,0.02104780907624218
aptos2019,10,first2,selected_training,0.10540915395284327,0.08183079056865465,0.01825018397820894
aptos2019,10,first2_ema,frozen_lr,0.0638002773925104,0.04299583911234397,0.011965592064133111
aptos2019,10,first2_ema,last2,0.15672676837725383,0.130374479889043,0.02174532359637037
